Index,Category,Title,Confidence,Current Type
229,Screwdriving Bit,DEWALT MAXFIT ULTRA 3-1./2 in. Phillips 3 Steel Screwdriving Bit DWAF3,6.0,Unknown - Unable to Classify
231,Screwdriving Bit,DEWALT MAXFIT ULTRA 1 in. T25 Steel Screwdriving Bits (2-Pack) DWAF1TX,8.0,Unknown - Unable to Classify
243,Screwdriving Bit,DEWALT MAXFIT ULTRA 2 in. Phillips 3 Steel Screwdriving Bits (2-Pack) ,6.0,Unknown - Unable to Classify
246,Other (low priority),RYOBI ONE+ 18V Cordless High Power Inflator P738,11.0,Unknown - Unable to Classify
254,Other (low priority),Bondo 8 sq. ft. Fiberglass Cloth 20128,11.0,Unknown - Unable to Classify
258,Screwdriving Bit,DEWALT MAXFIT ULTRA 2 in. Phillips 1 Steel Screwdriving Bits (2-Pack) ,6.0,Unknown - Unable to Classify
260,Other (low priority),Home Decorators Collection Westcourt 30 in. W x 22 in. D x 34 in. H Ba,9.0,Unknown - Unable to Classify
271,Other (low priority),Vigoro Torenia 64 in. Black Steel Shepherd Hook 87217,8.0,Unknown - Unable to Classify
273,Vinyl Plank Flooring,TrafficMaster Walnut Ember Java 4 MIL x 6 in. W x 36 in. L Peel and St,10.0,Unknown - Unable to Classify
279,Area Rug,"Scotch 3/4 in x 1.5ft White Indoor Fasteners, 1 Set of Strips RF4710",10.0,Unknown - Unable to Classify
283,Other (low priority),Commercial Electric 4-Piece Nut Driver CE180651,11.0,Unknown - Unable to Classify
287,Other (low priority),Hampton Bay Wireless Battery Operated Tabletop Doorbell Kit with LED S,11.0,Unknown - Unable to Classify
288,Area Rug,Concord Global Trading Retro Gray 3 ft. x 4 ft. Contemporary Area Rug ,8.0,Unknown - Unable to Classify
301,Other (low priority),"Commercial Electric Bookshelf Speaker Wall Mounts, No Stud Required (S",8.0,Unknown - Unable to Classify
306,Other (low priority),Everbilt 4 in. Gray Rubber Like TPR and Steel Swivel Plate Caster with,13.0,Unknown - Unable to Classify
320,Retractable Screen Door,Andersen 36 in. x 80 in. LuminAire Sandtone for Single Entry Door 32 i,8.0,Unknown - Unable to Classify
328,Specialty Pliers,Husky 12 in. Groove Joint Pliers 48065,11.0,Unknown - Unable to Classify
332,Retractable Screen Door,Andersen 36in.x 80in. LuminAire Charcoal Gray for Single Entry Door 32,8.0,Unknown - Unable to Classify
334,Retractable Screen Door,Andersen 36 in. x 80 in. LuminAire Bronze for Single Entry Door 32 in.,8.0,Unknown - Unable to Classify
337,Other (low priority),Anvil 1-1/4 in. Steel Corner Bead Tool with 24 oz. Rubber Mallet 82092,8.0,Unknown - Unable to Classify
338,Area Rug,TrafficMaster All Seasons Tulip Scroll Granite 24 in. x 39 in. Door Ma,6.0,Unknown - Unable to Classify
345,Other (low priority),"Wright Products Villa Pull Handle for Screen and Storm Doors, White VI",6.0,Unknown - Unable to Classify
352,Mini Pendant (scoring bug),Home Decorators Collection Orbit 1-Light Black Mini Pendant with Black,8.0,Unknown - Unable to Classify
358,Missing Data,,0,Unknown - Missing Data
363,Missing Data,,0,Unknown - Missing Data
365,Other (low priority),HDX FMS-1-S Standard Refrigerator Water Filter Replacement Fits Samsun,10.0,Unknown - Unable to Classify
373,Window Blinds,Home Decorators Collection White Cordless Faux Wood Blinds for Windows,8.0,Unknown - Unable to Classify
374,Other (low priority),MSI Carrara White 6 in. x 12 in. Polished Marble Floor and Wall Tile (,5.0,Unknown - Unable to Classify
375,Missing Data,,0,Unknown - Missing Data
382,Other (low priority),"EMOH Adjustable 48"" to 84"" Round Sash Rod in White (Set of 2) HSASHR-4",5.0,Unknown - Unable to Classify
384,Other (low priority),UNIKOO UKS04 66 to 72 in. W x 76 in. H Sliding Frameless Shower Door i,5.0,Unknown - Unable to Classify
386,Window Blinds,Chicology Oxford Gray Cordless Room Darkening Vinyl Vertical Blind wit,8.0,Unknown - Unable to Classify
392,Missing Data,,0,Unknown - Missing Data
393,Vinyl Plank Flooring,Lifeproof Sterling Oak 6 MIL x 8.7 in. W x 48 in. L Click Lock Waterpr,5.0,Unknown - Unable to Classify
394,Missing Data,,0,Unknown - Missing Data
395,Other (low priority),HALO ALP 250-Watt Equivalent Integrated LED Grey Premium Area Light Fi,13.0,Unknown - Unable to Classify
396,Other (low priority),Saint-Gobain ADFORS 72 in. x 25 ft. Charcoal Fiberglass Pool and Patio,5.0,Unknown - Unable to Classify
400,Missing Data,,0,Unknown - Missing Data
408,Missing Data,,0,Unknown - Missing Data
410,Missing Data,,0,Unknown - Missing Data
411,Missing Data,,0,Unknown - Missing Data
412,Workbench,Husky 72 in. W x 24 in. D Adjustable Height Black Workbench for Ready ,5.0,Unknown - Unable to Classify
413,Missing Data,,0,Unknown - Missing Data
414,Workbench,Husky 72 in. W x 24 in. D Adjustable Height Black Workbench for Ready ,5.0,Unknown - Unable to Classify
415,Other (low priority),VELCRO 7/8 in. Sticky Back Squares (12-Pack) 90072,8.0,Unknown - Unable to Classify
416,Other (low priority),Vigoro 4 ft. x 100 ft. Heavy Duty Matrix Grid Weed Control Landscape F,9.0,Unknown - Unable to Classify
417,Other (low priority),Milwaukee High Performance Hard Shell Knee Pads with PACKOUT Tool Bag ,8.0,Unknown - Unable to Classify
422,Other (low priority),Commercial Electric Pocket Size Auto Digital Ranging Multimeter MMB-83,10.0,Unknown - Unable to Classify
