Index,Title,Brand,Product Type,Confidence,Confidence Level,Version
24,GE Q-Line 40 Amp 2 in. Double-Pole Circuit Breaker THQL2140,GE,Circuit Breaker,95.0,High,v2
25,HALO HLBSL4 4 in. Adjustable CCT Canless IC Rated Dimmable Indoor Integrated LED Recessed Light Kit ,HALO,LED Light Bulb,100,High,v2
26,"Werner 5 in 1 Multi Position Pro 14 ft. Reach Aluminum Adjustable Multi Position Ladder, 375 lb. Loa",Werner,Ladder,93.0,High,v2
27,Square D Homeline 70 Amp 2-Pole Circuit Breaker HOM270CP,Square D,Circuit Breaker,95.0,High,v2
28,GE 150 Amp 4-Space 8 Circuit Outdoor Combination Main Breaker/Ringless Meter Socket Load Center TSMR,GE,Circuit Breaker,95.0,High,v2
29,Glacier Bay 9 in. x 7/8 in. Exposed Screw Assist Bar in Chrome 20135-1401-09,Glacier Bay,Fastener,80.0,High,v2
30,"Malco 18 in. Folding Tool, Folding Depths of 3/8 in. and 1 in. 18F",Malco,Metal Folding Tool,100.0,High,v2
31,"Lutron Claro 3-Gang Decorator/Rocker Wallplate, Gloss, Light Almond (1-Pack) CW-3B-LA",Lutron,Unknown - Unable to Classify,12.0,No Match,v2
32,GE 200 Amp 32-Space 64-Circuit Main Breaker Indoor Load Center Contractor Kit TM3220C64K,GE,Circuit Breaker,95.0,High,v2
33,FastenMaster Universal Hidden Deck Fastening System – Stainless steel hidden deck screws and clips –,FastenMaster,Drill Bit,43.0,Low,v2
34,Andersen 27-1/2 in. x 35-1/2 in. 200-Series White Double-Hung Clad Wood Window with White Interior L,Andersen,Window,100,High,v2
35,Milwaukee 9 in. 10 TPI TORCH Nitrus Carbide Teeth Medium Metal Cutting Reciprocating Saw Blade w/Add,Milwaukee,Saw,95.0,High,v2
36,"Leviton 15 Amp Decora Combination Tamper Resistant Duplex Outlet and USB Charger, White (3-Pack) T56",Leviton,Electrical Outlet,95.0,High,v2
37,GE 200 Amp 32-Space 64-Circuit Main Lug Indoor Load Center Contractor Kit TLM3220C64GK,GE,Load Center,95.0,High,v2
38,Hampton Bay 3.67 ft. Black Integrated LED Ceiling Mounted Hard Wired Linear Track Lighting Kit with ,Hampton Bay,Track Lighting,95.0,High,v2
39,Hampton Bay 4 ft. Brushed Nickel Integrated LED Ceiling Mount Direct wire Track Lighting Kit with Fl,Hampton Bay,Track Lighting,95.0,High,v2
40,Hampton Bay 44 in. Black Integrated LED Linear Track Lighting Kit Mini Step 3-Light 805109,Hampton Bay,Track Lighting,95.0,High,v2
41,GE PowerMark Gold 200 Amp 10 in. Enclosed Outdoor Circuit Breaker THQMV200NRE,GE,Circuit Breaker,95.0,High,v2
42,Commercial Electric Trimless Integrated LED 4 in Round Adjustable Color Temp Canless Recessed Light ,Commercial Electric,LED Light Bulb,100.0,High,v2
43,Commercial Electric Trimless Integrated LED 6 in Round Adjustable Color Temp Canless Recessed Light ,Commercial Electric,LED Light Bulb,100.0,High,v2
44,"Bell + Howell 15.7 in. Indoor White Ceiling Fan with Remote, LED Light, Socket 8563ENCBQH",Bell + Howell,Ceiling Fan,95.0,High,v2
45,Commercial Electric Impact Punch Down Tool with 110 Blade CE70804,Commercial Electric,Saw Blade,78.0,High,v2
46,"Oregon R28F Polesaw Chain for 6 in. Bar, Fits Remington, Milwaukee and Craftsman R28F-21",Oregon,Saw,46.0,Low,v2
47,GE PowerMark Plus 125 Amp 8-Space 16-Circuit Indoor Main Lug Breaker Value Kit TLM812SCUD1K,GE,Circuit Breaker,98.0,High,v2
48,Milwaukee 14-In-1 Multi-Bit Screwdriver 48-22-2900,Milwaukee,Screwdriver,78.0,High,v2
49,Commercial Electric Cylinder Integrated LED 3 in Round  Canless Recessed Light for Kitchen Bathroom ,Commercial Electric,LED Light Bulb,100.0,High,v2
50,Swiffer Lavender Scent Dry Sweeping Pad Refills (52-Count) 003700081559,Swiffer,Cleaning Pad,95.0,High,v2
51,Swiffer 360 Multi-Surface Heavy-Duty Lavender Scent Microfiber Duster Refill (11-Count) 003077207610,Swiffer,Cleaning Pad,78.0,High,v2
52,"Oregon N51 Chainsaw Chain for 12 in. Bar, Fits Husqvarna Models N51-21",Oregon,Saw,46.0,Low,v2
53,"HALO HLBSL 4 in. Adjustable CCT Canless IC Rated Dimmable Indoor, Outdoor Integrated LED Recessed Li",HALO,Recessed Light,95.0,High,v2
54,Commercial Electric Slim Baffle Integrated LED 6 in Round Adj Color Temp Canless Recessed Light for ,Commercial Electric,Recessed Light,95.0,High,v2
55,HALO LCR6 6 in. Selectable CCT Round Canless Integrated LED White Recessed Light Retrofit Module Tri,HALO,Recessed Light,95.0,High,v2
56,GE 200 Amp 40-Space 80-Circuit Main Breaker Indoor Load Center Contractor Load Center and Breaker Ki,GE,Circuit Breaker,95.0,High,v2
57,GE PowerMark Plus 125 Amp 14-Space 24-Circuit Indoor Main Lug Value Kit Includes Select Circuit Brea,GE,Circuit Breaker,95.0,High,v2
58,GE 100 Amp 20-Space 20-Circuit Main Breaker Indoor Load Center Contractor Kit TM2010CCUBK1,GE,Circuit Breaker,95.0,High,v2
59,"Commercial Electric Specialty Elite 3 in. LED Trimless Canless Recessed Light, Adjustable CCT 92346",Commercial Electric,Recessed Light,95.0,High,v2
60,HALO LCR4 4 in. Soft White Selectable CCT Integrated LED Recessed Light With Round Surface Mount Whi,HALO,Recessed Light,95.0,High,v2
61,GE PowerMark Plus Outdoor 125 Amp 4-Space 8-Circuit Single-Phase Main Lug Circuit Breaker Panel TL41,GE,Circuit Breaker,95.0,High,v2
62,Lithonia Lighting Contractor Select EU2C 120/277-Volt Integrated LED White Emergency Light Fixture w,Lithonia Lighting,Unknown - Unable to Classify,12.0,No Match,v2
63,GE 200 Amp 4 Space 8 Circuit Outdoor Combination Main Breaker/Ringless Meter Socket Load Center TSMR,GE,Circuit Breaker,95.0,High,v2
64,GE PowerMark Plus 125 Amp 4-Space 8-Circuit Single-Phase Indoor Main Lug Circuit Breaker Panel TL412,GE,Circuit Breaker,95.0,High,v2
65,GE PowerMark Plus 125 Amp 8-Space 16-Circuit Indoor Main Lug Circuit Breaker Panel TLM812FCUDP,GE,Circuit Breaker,95.0,High,v2
66,Schlage Camelot Satin Nickel Electronic Keypad Deadbolt Door Lock with Accent Door Handle FBE365 V C,Schlage,Door Lock,95.0,High,v2
67,"Lockly Secure Pro Zeno Series Matte Black Deadbolt WiFi Smart Lock, Apple Home Key, Fingerprint, Key",Lockly,Door Lock,95.0,High,v2
68,GE Q-Line 30 Amp 1/2 in. Single-Pole Circuit Breaker (THQP130) THQP130,GE,Circuit Breaker,95.0,High,v2
69,GE Q-Line 50 Amp 2 in. Double-Pole Circuit Breaker THQL2150,GE,Circuit Breaker,95.0,High,v2
70,Commercial Electric Slim Baffle Integrated LED 4 in Round Adj Color Temp Canless Recessed Light for ,Commercial Electric,Recessed Light,95.0,High,v2
71,Commercial Electric Ultra Slim Integrated LED 4 in Round Adj Color Temp Canless Recessed Light for K,Commercial Electric,Recessed Light,95.0,High,v2
72,"Leviton Branch Circuit Breaker, AFCI/GFCI 1-Pole 20 Amp, 120-Volt, Thermal Magnetic LB120-DFR R12-LB",Leviton,Circuit Breaker,100.0,High,v2
73,Leviton 120-Volt/240-Volt Residential Whole House Surge Protector 51110-SRG R02-51110-SRG,Leviton,Surge Protector,95.0,High,v2
74,"Leviton Branch Circuit Breaker, AFCI 1-Pole 15 Amp, 120-Volt, Thermal Magnetic LB115-AFR R11-LB115-A",Leviton,Circuit Breaker,100.0,High,v2
75,Square D Homeline 70 Amp 2-Space 4-Circuit Outdoor Main Lug Load Center(HOM24L70RBCP) HOM24L70RBCP,Square D,Load Center,95.0,High,v2
76,"Leviton 15 Amp 120/277 Volt Single Pole Antimicrobial Treated Decora Rocker Switch, White, 5-Pack MA",Leviton,Light Switch,95.0,High,v2
77,"Channellock 12 in. Oil Filter/PVC Plier, Angled Head 2012",Channellock,Unknown - Unable to Classify,6.0,No Match,v2
78,Husky Encased Sewer Rod 82-974-111,Husky,Unknown - Unable to Classify,8.0,No Match,v2
79,GE PowerMark Plus Outdoor 70 Amp 2-Space 4-Circuit Single-Phase Main Lug Circuit Breaker Panel TL270,GE,Circuit Breaker,95.0,High,v2
80,Schlage Parthenon Antique Brass Single Cylinder Door Handle set with Georgian Knob F60 G PAR 609 GEO,Schlage,Door Knob,98.0,High,v2
81,Cobra 5/16 in. x 50 ft. Cable Drum Machine BC260,Cobra,Cable,75.0,High,v2
82,"Legrand radiant 450W Multi-Location Master Rocker Dimmer for LED/CFL/Halogen/Incandescent Bulbs, Whi",Legrand,LED Light Bulb,100,High,v2
83,Leviton 200 Amp 42-Space Indoor Load Center with Main Breaker LP420-BDR RD0-LP420-BDR,Leviton,Load Center,95.0,High,v2
84,"RIDGID 3 Gal. 5.0 Peak HP NXT Shop Vacuum Wet Dry Vac with Filter, Locking Hose, Accessories and Pro",RIDGID,Shop Vacuum,100.0,High,v2
85,DIABLO 9 in. 8 TPI Steel Demon AMPED Carbide Reciprocating Saw Blade for Thick Metal Cutting (2-Pack,DIABLO,Saw,95.0,High,v2
86,Nite Ize GlowStreak LED Red Ball Dog Toy GSB-10-R7,Nite Ize,Unknown - Unable to Classify,9.0,No Match,v2
87,Nite Ize SlapLit Neon Yellow LED Slap Wrap SLP2-33-R3,Nite Ize,Unknown - Unable to Classify,6.0,No Match,v2
88,DIABLO 3/4 in. x 12 in. SDS-Plus Rebar Cutter DMAPLRC1050,DIABLO,Specialty Cutter,95.0,High,v2
89,Husky 8 in. Standard Slip Joint Pliers 90146,Husky,Wire,43.0,Low,v2
90,TITAN EP 60X Fine Finishing HVLP Paint Sprayer 2456369,TITAN,Paint Sprayer,95.0,High,v2
91,Leviton 200 Amp 30-Space Indoor Load Center with Main Lugs LP322-LDR RS0-LP322-LDR,Leviton,Load Center,95.0,High,v2
92,Milwaukee SHOCKWAVE Impact Duty Drill & Drive Set (21-Piece) 48-32-5163,Milwaukee,Drill Bit,46.0,Low,v2
93,DIABLO 10in. x 6-Teeth HardieBlade Saw Blade for Fiber Cement D1006DH,DIABLO,Saw Blade,95.0,High,v2
94,Home Decorators Collection Silky Medallion Multi 5 ft. x 7 ft. Medallion Polyester Area Rug 5285.81.,Home Decorators Collection,Unknown - Unable to Classify,6.0,No Match,v2
95,Leviton 15 Amp Smartlock Pro Self-Test GFCI Combination 24-Watt (4.8 Amp) Type A USB In-Wall Charger,Leviton,Electrical Outlet,95.0,High,v2
96,"Leviton 3.6A USB Dual Type A In-Wall Charger with 15 Amp Tamper-Resistant Outlets, Black T5632-BE R0",Leviton,Electrical Outlet,100.0,High,v2
97,Kwikset San Clemente Matte Black Single Cylinder Low Profile Door Handleset with Halifax Handle Feat,Kwikset,Door Handle,95.0,High,v2
98,SharkBite 1/4 in. Push-to-Connect x 3/8 in. Compression Chrome-Plated Brass Tee Adapter Stop Valve U,SharkBite,Plumbing Fitting,90.0,High,v2
99,Cash Acme 3/4 in. FNPT Tankless Water Heater Valves Installation Kit 25760,Cash Acme,Water Heater,95.0,High,v2
100,Kwikset Pismo Round Satin Nickel Dummy Door Knob Featuring Microban Antimicrobial Technology 788PSKR,Kwikset,Door Knob,95.0,High,v2
101,SharkBite 3/4 in. PEX-A Brass Expansion x 3/4 in. FIP x 18 in. L Stainless Steel Flexible Water Heat,SharkBite,Water Heater,95.0,High,v2
102,Glacier Bay 22 in. Undermount Rectangular Vitreous China Bathroom Sink in White 14-027-W,Glacier Bay,Sink,95.0,High,v2
103,Milwaukee 9 in. 8 TPI TORCH Nitrus Carbide Teeth Metal Cutting SAWZALL Reciprocating Saw Blade w/Add,Milwaukee,Saw,95.0,High,v2
104,DIABLO 2 in. x 7 in. SDS-Max Carbide Tipped Coring Drill Bit DMAMXCC5010,DIABLO,Drill Bit,95.0,High,v2
105,CyberPower 6 ft. 4-Outlet Power Station with Surge Protector PS406UC,CyberPower,Surge Protector,95.0,High,v2
106,Home Decorators Collection 36 in. - 72 in. Telescoping 1 in. Single Curtain Rod Kit in Matte Black w,Home Decorators Collection,Curtain Rod,95.0,High,v2
107,StyleWell 6 in. x 8 in. Satin Nickel Steel Classic Arch Decorative Shelf Bracket 27790SNLHD,StyleWell,Shelf Bracket,95.0,High,v2
108,SunTouch Floor Warming 8 ft. x 30 in. 120-Volt Radiant Floor Heating Mat (Covers 20 sq. ft.) 1200083,SunTouch Floor Warming,Wire,40.0,Low,v2
109,Bell + Howell Swivel Power 180-Degree Swiveling Design 6-Outlets & 3 USB Port Outlet Splitters Charg,Bell + Howell,Electrical Outlet,93.0,High,v2
110,Lifetime 4 ft. One Hand Adjustable Height Fold-in-Half Table Almond 80726,Lifetime,Unknown - Unable to Classify,6.0,No Match,v2
111,FIRM GRIP Pro Grip X-Large Black Synthetic Leather High Performance Glove 55283-06,FIRM GRIP,Work Gloves,46.0,Low,v2
112,ULTRA PROGRADE ProWire Direct Wire 12 in. LED Oil-Rubbed Bronze Under Cabinet Light 64769-T1,ULTRA PROGRADE,LED Light Bulb,100,High,v2
113,HDX 20 in. x 25 in. x 6 in. AprilAire and Space-Gard Replacement Pleated Air Filter (Without Frame) ,HDX,HVAC Air Filter,95.0,High,v2
114,Square D Homeline 225 Amp 40-Space 80-Circuit Indoor Main Lug Plug-On Neutral Load Center with Cover,Square D,Load Center,95.0,High,v2
115,Master Flow 4 in. x 25 ft. Insulated Flexible Duct R6 Silver Jacket F6IFD4X300,Master Flow,Wire,43.0,Low,v2
116,Pfister 971-250 2-3/4 in. Replacement Valve Stem Assembly for 08 Series Tub and Shower Single-Handle,Pfister,Faucet Part,100.0,High,v2
117,PEAK Aluminum Railing 6 in. W Black Aluminum Deck Railing Wall Mount Bracket Kit for 42 in. high sys,PEAK Aluminum Railing,Shelf Bracket,75.0,High,v2
118,PEAK Aluminum Railing 6 in. W Black Aluminum Deck Railing Universal Connector for 42 in. high system,PEAK Aluminum Railing,Plumbing Fitting,46.0,Low,v2
119,Home Decorators Collection 72 in. - 144 in. Telescoping 1 in. Double Curtain Rod in Brushed Nickel w,Home Decorators Collection,Curtain Rod,95.0,High,v2
120,CyberPower 15 ft. 6-Outlet Cord 1500J Surge Protector B615,CyberPower,Surge Protector,95.0,High,v2
121,Hampton Bay Denbeck 4.5 in. W Matte Black 1-Light Sconce Clear Glass KVB1301AX-01,Hampton Bay,Wall Sconce,83.0,High,v2
122,Digz Women's Medium Comfort Grip Garden Gloves 74876-014,Digz,Work Gloves,81.0,High,v2
123,Hampton Bay Wesleigh 59 in. Aged Brass Standard LED Indoor Floor Lamp 3 CCT Dimmer Switch with Brass,Hampton Bay,LED Light Bulb,100,High,v2
124,3M 3-3/4 in. x 2-5/8 in. x 1 in. 60 Grit Sanding Sponge Coarse (12-Pack) CP002-12P,3M,Paint,42.0,Low,v2
125,3M Organic Vapor Replacement Cartridges (1-Pair) 6001P1-DC,3M,Safety Respirator,51.0,Medium,v2
126,3M ScotchBlue 0.94 in. x 60 yds. Sharp Lines Painter's Tape with Edge-Lock 2093-24NC,3M,Tape,85.0,High,v2
127,Home Decorators Collection Raleigh Jute Boucle Natural 6 ft. x 9 ft. Area Rug 8959830106x9,Home Decorators Collection,Unknown - Unable to Classify,6.0,No Match,v2
128,ReVent 110 CFM Ceiling/Wall Mount Easy Roomside Installation Bathroom/Bath Exhaust Fan w/ Adjustable,ReVent,Exhaust Fan,95.0,High,v2
129,Hampton Bay Raeburn 23 in. Steel and Marble Aged Brass Indoor Table Lamp with Black Fabric Shade HD-,Hampton Bay,Unknown - Unable to Classify,13.0,No Match,v2
130,Airthings Wave Radon Battery Operated Smart Radon Detector 2951,Airthings,Radon Detector,95.0,High,v2
131,Hampton Bay 120-Volt 150-Watt Black Single Circuit Linear Track Pendant or Chandelier Adapter Track ,Hampton Bay,Track Lighting,95.0,High,v2
132,FastenMaster Collated Cortex Hidden Fastening System for AZEK Trim - 2 inch Cortex screws and plugs ,FastenMaster,Fastener,42.0,Low,v2
133,Hampton Bay Indoor/Outdoor 12-Light 24 ft. Smart Plug-in Edison Bulb RGBW Color Changing LED String ,Hampton Bay,String Lights,95.0,High,v2
134,"Milwaukee AIR-TIP Claw Utility Nozzle, Rotating Corner Brush, Flexible Long Crevice Tool For Wet/Dry",Milwaukee,Shop Vacuum,95.0,High,v2
135,PUR PLUS 30 Cup Dispenser - Water Filter Pitcher DS1810ZA,PUR,Cleaning Solution,40.0,Low,v2
136,PUR PLUS 11 Cup Pitcher - Water Filter Pitcher PPT110WA,PUR,Cleaning Solution,40.0,Low,v2
137,HDX Natural Cream Painters Cotton Spray Sock Hood (3-Pack) 09305-12HDX,HDX,Paint,40.0,Low,v2
138,"Leviton 3.6A USB Dual Type A In-Wall Charger with 15 Amp Tamper-Resistant Outlets, White T5632-BW R0",Leviton,Electrical Outlet,100.0,High,v2
139,Empire 9 in. True Blue Professional Magnetic Torpedo Level (2-Pack) EM81.9G,Empire,Level,95.0,High,v2
140,CASTICO 32 in. W x 60 in. L x 1.125 in. H Alcove Solid Composite Stone Shower Pan Base with L/R Drai,CASTICO,Shower Pan,95.0,High,v2
141,ULTRA PROGRADE ProWire Direct Wire 24 in. LED Oil-Rubbed Bronze Under Cabinet Light 64771-T1,ULTRA PROGRADE,LED Light Bulb,100,High,v2
142,360 Electrical 24-Watt Revolve 4-Outlet Surge Protector 3E0775-WHT6NA,360 Electrical,Surge Protector,95.0,High,v2
143,360 Electrical 45-Watt Revolve 4-Outlet Surge Protector 3E0771-WHT6NA,360 Electrical,Surge Protector,95.0,High,v2
144,"Leviton Decora 20 Amp 125-Volt Combination Duplex Outlet and USB Outlet, White T5832-BW R02-T5832-0B",Leviton,Electrical Outlet,95.0,High,v2
145,Defiant Smart Outdoor 4 ft. 6-Outlet Power Stake Timer with Holiday Lights Projector Powered by Hubs,Defiant,Electrical Outlet,78.0,High,v2
146,EcoSmart 6 in. Integrated LED White Canless New Construction or Remodel Dimmable Recessed Light Trim,EcoSmart,LED Light Bulb,100,High,v2
147,"EcoSmart 5/6 in. Integrated LED Recessed Retrofit Light Trim 3000K, (4-Pack) NB01cA10FR1-309",EcoSmart,Recessed Light,100,High,v2
148,Commercial Electric 12 in. LED Linkable White Flexible Tape Under Cabinet Light Kit (4-Strip Pack) 4,Commercial Electric,Under Cabinet Light,95.0,High,v2
149,"Enbrighten 12 Bulb 24 ft. Outdoor/Indoor Black Vintage LED String Lights, Acrylic Edison Bulbs 35629",Enbrighten,String Lights,95.0,High,v2
150,Hampton Bay Richland 1-Light Dark Bronze Mini-Pendant Design Clear Seedy Glass KSF8901AX-01/DB,Hampton Bay,Pendant Light,94.0,High,v2
151,GE Whole House Water Filtration System GXWH50M,GE,Level,43.0,Low,v2
152,"VELUX 2 ft. Rigid Extension Tube for TGR 010, THR 010, TSR 010, and TMR 010 Sun Tunnel Skylight ZTR ",VELUX,Skylight,75.0,High,v2
153,VELUX 10 in. Acrylic Dome Sun Tunnel Skylight with Rigid Tube and Pitched High Density Flashing THR ,VELUX,Skylight,77.0,High,v2
154,VELUX 22.5 in. x 22.5 in. Fixed Curb-Mount Skylight with Tempered Low-E3 Glass FCM 2222 0005,VELUX,Skylight,78.0,High,v2
155,Glacier Bay Bratten 33 in. Drop-In 50/50 Double Bowl 18 Gauge Stainless Steel Kitchen Sink with Acce,Glacier Bay,Sink,95.0,High,v2
156,BEYOND BRIGHT 25-Watt LED Lamp Light Bulbs 6500K 3700-Lumens with Built-In Bluetooth Speaker BEBRSW-,BEYOND BRIGHT,LED Light Bulb,100.0,High,v2
157,EcoSmart 6 in. Integrated LED White Canless New Construction or Remodel Dimmable Recessed Light Trim,EcoSmart,LED Light Bulb,100,High,v2
158,VELUX 22-1/2 in. x 46-1/2 in. Fixed Curb-Mount Skylight with Tempered Low-E3 Glass FCM 2246 0005,VELUX,Skylight,78.0,High,v2
159,Home Decorators Collection Kenton 4.75 in. 1-Light Vintage Bronze Industrial Wall Sconce with Cage F,Home Decorators Collection,Wall Sconce,95.0,High,v2
160,Home Decorators Collection Harmony Denim 5 ft. x 7 ft. Indoor Machine Washable Area Rug 610273,Home Decorators Collection,Unknown - Unable to Classify,6.0,No Match,v2
161,Home Decorators Collection Sirrine 17.25 in. 2-Light Black Outdoor Wall Light Fixture Sconce with Cl,Home Decorators Collection,Wall Sconce,95.0,High,v2
162,VELUX 21 in. x 45-3/4 in. Fixed Deck-Mount Skylight with Laminated Low-E3 Glass FS C06 2004,VELUX,Skylight,77.0,High,v2
163,"Ring Smart Lighting - Low Voltage Lighting Transformer (12-Volt x 15-Volt, 200-Watt), Black (Bridge ",Ring,Landscape Lighting,51.0,Medium,v2
164,TrimMaster Satin Nickel 5.5mm x 74 in. Aluminum Stair Nosing Floor Transition Strip HLVT7SN74,TrimMaster,Unknown - Unable to Classify,6.0,No Match,v2
165,RYOBI ONE+ 18V Cordless Hybrid 3000 Lumens LED Panel Light (Tool Only) PCL631B,RYOBI,LED Light Bulb,98.0,High,v2
166,Hampton Bay Ashhurst 1-Light ORB Wall Sconce with Switch JIB8401AX-02/OR,Hampton Bay,Light Switch,94.0,High,v2
167,Glacier Bay 33 in. Drop-In Single Bowl 18 Gauge Stainless Steel Kitchen Sink with Pull-Down Faucet V,Glacier Bay,Sink,95.0,High,v2
168,Hampton Bay Ashhurst 1-Light Brushed Nickel Wall Sconce with Switch JIB8401AX-02/BN,Hampton Bay,Light Switch,94.0,High,v2
169,Commercial Electric 11 in. 100-Watt Equivalent Oil-Rubbed Bronze Integrated LED Flush Mount with Fro,Commercial Electric,Flush Mount Light,95.0,High,v2
170,Hampton Bay Pratford 2.6 ft. 4-Light Brushed Nickel Integrated LED Fixed Track Lighting Kit 23055-00,Hampton Bay,Track Lighting,95.0,High,v2
171,Hampton Bay Lamar Park 50 Lumen Low Voltage Black Integrated LED Waterproof Outdoor Path Lights with,Hampton Bay,Wire,40.0,Low,v2
172,CASTICO 36 in. W x 60 in. L x 1.125 in. H Alcove Solid Composite Stone Shower Pan Base with L/R Drai,CASTICO,Shower Pan,95.0,High,v2
173,Milwaukee AIR-TIP 1-1/4 in. - 2-1/2 in. Pivoting Extension Wand Wet/Dry Shop Vacuum Attachment (1-Pi,Milwaukee,Shop Vacuum,95.0,High,v2
174,KOHLER Capilano Single-Handle 3-Spray Tub and Shower Faucet in Vibrant Brushed Nickel (Valve Include,KOHLER,Door Handle,42.0,Low,v2
175,Feit Electric OneSync Landscape 40 Lumens Bronze Solar Integrated LED Outdoor Path Light with Dusk-T,Feit Electric,LED Light Bulb,100,High,v2
176,Home Decorators Collection Closmere 5 in. 1-Light Brushed Gold Mid-Century Modern Wall Sconce with C,Home Decorators Collection,Wall Sconce,95.0,High,v2
177,Hampton Bay Darlington 4.5 in. 1-Light Brushed Nickel Transitional Wall Sconce with Frosted Opal Gla,Hampton Bay,Wall Sconce,95.0,High,v2
178,Hampton Bay Byrson 6 in. 1-Light Matte Black Wall Sconce Light with Plug-In/Hardwire White Fabric Sh,Hampton Bay,Wall Sconce,95.0,High,v2
179,Home Decorators Collection Keighley Integrated LED Chrome and Crystal Indoor Wall Sconce Light Fixtu,Home Decorators Collection,Sink,43.0,Low,v2
180,Hampton Bay Upton Brushed Nickel LED Sconce RS513859,Hampton Bay,Light Switch,46.0,Low,v2
181,Hampton Bay Obsidian 8.5 in. 1-Light Brushed Nickel Wall Sconce with Frosted Glass Shade RS228470,Hampton Bay,Wall Sconce,95.0,High,v2
182,Home Decorators Collection Downing 1-Light Polished Nickel/Corona Bronze Wall Sconce 28011,Home Decorators Collection,Wall Sconce,95.0,High,v2
183,Glacier Bay Stancliff 25 in. Single Sink Elm Ember Bath Vanity with White Cultured Marble Top (Assem,Glacier Bay,Vanity Top,98.0,High,v2
184,Glacier Bay 33 in. Drop-In 60/40 Double Bowl 18 Gauge Stainless Steel Kitchen Sink with Pull-Down Fa,Glacier Bay,Sink,95.0,High,v2
185,Feit Electric OneSync Landscape 40 Lumens Bronze Solar Integrated LED Outdoor Path Light w/Dusk-To-D,Feit Electric,LED Light Bulb,100,High,v2
186,Commercial Electric 11 in. White Integrated LED Dimmable Flush Mount Puff with Adjustable CCT and RG,Commercial Electric,Flush Mount Light,95.0,High,v2
187,Hampton Bay 540 Lumen Low Voltage Millennium Black Adjustable Light Color Integrated LED Outdoor Lan,Hampton Bay,LED Light Bulb,100,High,v2
