Index,Title,Brand,Product Type,Confidence,Confidence Level
51,Swiffer 360 Multi-Surface Heavy-Duty Lavender Scent Microfiber Duster Refill (11-Count) 003077207610,Swiffer,Cleaning Pad,45.0,Low
52,"Oregon N51 Chainsaw Chain for 12 in. Bar, Fits Husqvarna Models N51-21",Oregon,Saw,33.0,Low
53,"HALO HLBSL 4 in. Adjustable CCT Canless IC Rated Dimmable Indoor, Outdoor Integrated LED Recessed Li",HALO,Recessed Light,78.0,High
54,Commercial Electric Slim Baffle Integrated LED 6 in Round Adj Color Temp Canless Recessed Light for ,Commercial Electric,Recessed Light,81.0,High
55,HALO LCR6 6 in. Selectable CCT Round Canless Integrated LED White Recessed Light Retrofit Module Tri,HALO,Recessed Light,53.0,Medium
56,GE 200 Amp 40-Space 80-Circuit Main Breaker Indoor Load Center Contractor Load Center and Breaker Ki,GE,Circuit Breaker,78.0,High
57,GE PowerMark Plus 125 Amp 14-Space 24-Circuit Indoor Main Lug Value Kit Includes Select Circuit Brea,GE,Circuit Breaker,58.0,Medium
58,GE 100 Amp 20-Space 20-Circuit Main Breaker Indoor Load Center Contractor Kit TM2010CCUBK1,GE,Circuit Breaker,78.0,High
59,"Commercial Electric Specialty Elite 3 in. LED Trimless Canless Recessed Light, Adjustable CCT 92346",Commercial Electric,Recessed Light,46.0,Low
60,HALO LCR4 4 in. Soft White Selectable CCT Integrated LED Recessed Light With Round Surface Mount Whi,HALO,Recessed Light,89.0,High
61,GE PowerMark Plus Outdoor 125 Amp 4-Space 8-Circuit Single-Phase Main Lug Circuit Breaker Panel TL41,GE,Load Center,83.0,High
62,Lithonia Lighting Contractor Select EU2C 120/277-Volt Integrated LED White Emergency Light Fixture w,Lithonia Lighting,Unknown - Unable to Classify,16.0,Very Low
63,GE 200 Amp 4 Space 8 Circuit Outdoor Combination Main Breaker/Ringless Meter Socket Load Center TSMR,GE,Load Center,58.0,Medium
64,GE PowerMark Plus 125 Amp 4-Space 8-Circuit Single-Phase Indoor Main Lug Circuit Breaker Panel TL412,GE,Load Center,83.0,High
65,GE PowerMark Plus 125 Amp 8-Space 16-Circuit Indoor Main Lug Circuit Breaker Panel TLM812FCUDP,GE,Load Center,88.0,High
66,Schlage Camelot Satin Nickel Electronic Keypad Deadbolt Door Lock with Accent Door Handle FBE365 V C,Schlage,Door Lock,75.0,High
67,"Lockly Secure Pro Zeno Series Matte Black Deadbolt WiFi Smart Lock, Apple Home Key, Fingerprint, Key",Lockly,Door Lock,45.0,Low
68,GE Q-Line 30 Amp 1/2 in. Single-Pole Circuit Breaker (THQP130) THQP130,GE,Circuit Breaker,58.0,Medium
69,GE Q-Line 50 Amp 2 in. Double-Pole Circuit Breaker THQL2150,GE,Circuit Breaker,58.0,Medium
70,Commercial Electric Slim Baffle Integrated LED 4 in Round Adj Color Temp Canless Recessed Light for ,Commercial Electric,Recessed Light,81.0,High
71,Commercial Electric Ultra Slim Integrated LED 4 in Round Adj Color Temp Canless Recessed Light for K,Commercial Electric,Recessed Light,76.0,High
72,"Leviton Branch Circuit Breaker, AFCI/GFCI 1-Pole 20 Amp, 120-Volt, Thermal Magnetic LB120-DFR R12-LB",Leviton,Circuit Breaker,63.0,Medium
73,Leviton 120-Volt/240-Volt Residential Whole House Surge Protector 51110-SRG R02-51110-SRG,Leviton,Unknown - Unable to Classify,13.0,Very Low
74,"Leviton Branch Circuit Breaker, AFCI 1-Pole 15 Amp, 120-Volt, Thermal Magnetic LB115-AFR R11-LB115-A",Leviton,Circuit Breaker,63.0,Medium
75,Square D Homeline 70 Amp 2-Space 4-Circuit Outdoor Main Lug Load Center(HOM24L70RBCP) HOM24L70RBCP,Square D,Load Center,61.0,Medium
76,"Leviton 15 Amp 120/277 Volt Single Pole Antimicrobial Treated Decora Rocker Switch, White, 5-Pack MA",Leviton,Light Switch,46.0,Low
77,"Channellock 12 in. Oil Filter/PVC Plier, Angled Head 2012",Channellock,Unknown - Unable to Classify,8.0,Very Low
78,Husky Encased Sewer Rod 82-974-111,Husky,Unknown - Unable to Classify,9.0,Very Low
79,GE PowerMark Plus Outdoor 70 Amp 2-Space 4-Circuit Single-Phase Main Lug Circuit Breaker Panel TL270,GE,Load Center,80.0,High
80,Schlage Parthenon Antique Brass Single Cylinder Door Handle set with Georgian Knob F60 G PAR 609 GEO,Schlage,Door Knob,86.0,High
81,Cobra 5/16 in. x 50 ft. Cable Drum Machine BC260,Cobra,Cable,40.0,Low
82,"Legrand radiant 450W Multi-Location Master Rocker Dimmer for LED/CFL/Halogen/Incandescent Bulbs, Whi",Legrand,Wall Plate,33.0,Low
83,Leviton 200 Amp 42-Space Indoor Load Center with Main Breaker LP420-BDR RD0-LP420-BDR,Leviton,Circuit Breaker,78.0,High
84,"RIDGID 3 Gal. 5.0 Peak HP NXT Shop Vacuum Wet Dry Vac with Filter, Locking Hose, Accessories and Pro",RIDGID,Shop Vacuum,50.0,Medium
85,DIABLO 9 in. 8 TPI Steel Demon AMPED Carbide Reciprocating Saw Blade for Thick Metal Cutting (2-Pack,DIABLO,Saw,53.0,Medium
86,Nite Ize GlowStreak LED Red Ball Dog Toy GSB-10-R7,Nite Ize,Unknown - Unable to Classify,8.0,Very Low
87,Nite Ize SlapLit Neon Yellow LED Slap Wrap SLP2-33-R3,Nite Ize,Unknown - Unable to Classify,6.0,Very Low
88,DIABLO 3/4 in. x 12 in. SDS-Plus Rebar Cutter DMAPLRC1050,DIABLO,Unknown - Unable to Classify,28.0,Very Low
89,Husky 8 in. Standard Slip Joint Pliers 90146,Husky,Unknown - Unable to Classify,28.0,Very Low
90,TITAN EP 60X Fine Finishing HVLP Paint Sprayer 2456369,TITAN,Unknown - Unable to Classify,28.0,Very Low
91,Leviton 200 Amp 30-Space Indoor Load Center with Main Lugs LP322-LDR RS0-LP322-LDR,Leviton,Load Center,55.0,Medium
92,Milwaukee SHOCKWAVE Impact Duty Drill & Drive Set (21-Piece) 48-32-5163,Milwaukee,Drill Bit,33.0,Low
93,DIABLO 10in. x 6-Teeth HardieBlade Saw Blade for Fiber Cement D1006DH,DIABLO,Saw,83.0,High
94,Home Decorators Collection Silky Medallion Multi 5 ft. x 7 ft. Medallion Polyester Area Rug 5285.81.,Home Decorators Collection,Unknown - Unable to Classify,10.0,Very Low
95,Leviton 15 Amp Smartlock Pro Self-Test GFCI Combination 24-Watt (4.8 Amp) Type A USB In-Wall Charger,Leviton,Electrical Outlet,48.0,Low
96,"Leviton 3.6A USB Dual Type A In-Wall Charger with 15 Amp Tamper-Resistant Outlets, Black T5632-BE R0",Leviton,Unknown - Unable to Classify,25.0,Very Low
97,Kwikset San Clemente Matte Black Single Cylinder Low Profile Door Handleset with Halifax Handle Feat,Kwikset,Door Handle,70.0,High
98,SharkBite 1/4 in. Push-to-Connect x 3/8 in. Compression Chrome-Plated Brass Tee Adapter Stop Valve U,SharkBite,Plumbing Fitting,83.0,High
99,Cash Acme 3/4 in. FNPT Tankless Water Heater Valves Installation Kit 25760,Cash Acme,Water Heater,40.0,Low
100,Kwikset Pismo Round Satin Nickel Dummy Door Knob Featuring Microban Antimicrobial Technology 788PSKR,Kwikset,Door Knob,45.0,Low
101,SharkBite 3/4 in. PEX-A Brass Expansion x 3/4 in. FIP x 18 in. L Stainless Steel Flexible Water Heat,SharkBite,Plumbing Fitting,73.0,High
102,Glacier Bay 22 in. Undermount Rectangular Vitreous China Bathroom Sink in White 14-027-W,Glacier Bay,Sink,48.0,Low
103,Milwaukee 9 in. 8 TPI TORCH Nitrus Carbide Teeth Metal Cutting SAWZALL Reciprocating Saw Blade w/Add,Milwaukee,Saw,58.0,Medium
104,DIABLO 2 in. x 7 in. SDS-Max Carbide Tipped Coring Drill Bit DMAMXCC5010,DIABLO,Drill,68.0,Medium
105,CyberPower 6 ft. 4-Outlet Power Station with Surge Protector PS406UC,CyberPower,Unknown - Unable to Classify,9.0,Very Low
106,Home Decorators Collection 36 in. - 72 in. Telescoping 1 in. Single Curtain Rod Kit in Matte Black w,Home Decorators Collection,Unknown - Unable to Classify,8.0,Very Low
107,StyleWell 6 in. x 8 in. Satin Nickel Steel Classic Arch Decorative Shelf Bracket 27790SNLHD,StyleWell,Unknown - Unable to Classify,11.0,Very Low
108,SunTouch Floor Warming 8 ft. x 30 in. 120-Volt Radiant Floor Heating Mat (Covers 20 sq. ft.) 1200083,SunTouch Floor Warming,Unknown - Unable to Classify,25.0,Very Low
109,Bell + Howell Swivel Power 180-Degree Swiveling Design 6-Outlets & 3 USB Port Outlet Splitters Charg,Bell + Howell,Electrical Outlet,46.0,Low
110,Lifetime 4 ft. One Hand Adjustable Height Fold-in-Half Table Almond 80726,Lifetime,Unknown - Unable to Classify,8.0,Very Low
111,FIRM GRIP Pro Grip X-Large Black Synthetic Leather High Performance Glove 55283-06,FIRM GRIP,Work Gloves,35.0,Low
112,ULTRA PROGRADE ProWire Direct Wire 12 in. LED Oil-Rubbed Bronze Under Cabinet Light 64769-T1,ULTRA PROGRADE,Under Cabinet Light,51.0,Medium
113,HDX 20 in. x 25 in. x 6 in. AprilAire and Space-Gard Replacement Pleated Air Filter (Without Frame) ,HDX,Unknown - Unable to Classify,8.0,Very Low
114,Square D Homeline 225 Amp 40-Space 80-Circuit Indoor Main Lug Plug-On Neutral Load Center with Cover,Square D,Load Center,58.0,Medium
115,Master Flow 4 in. x 25 ft. Insulated Flexible Duct R6 Silver Jacket F6IFD4X300,Master Flow,Unknown - Unable to Classify,28.0,Very Low
116,Pfister 971-250 2-3/4 in. Replacement Valve Stem Assembly for 08 Series Tub and Shower Single-Handle,Pfister,Unknown - Unable to Classify,8.0,Very Low
117,PEAK Aluminum Railing 6 in. W Black Aluminum Deck Railing Wall Mount Bracket Kit for 42 in. high sys,PEAK Aluminum Railing,Unknown - Unable to Classify,28.0,Very Low
118,PEAK Aluminum Railing 6 in. W Black Aluminum Deck Railing Universal Connector for 42 in. high system,PEAK Aluminum Railing,Plumbing Fitting,68.0,Medium
119,Home Decorators Collection 72 in. - 144 in. Telescoping 1 in. Double Curtain Rod in Brushed Nickel w,Home Decorators Collection,Unknown - Unable to Classify,28.0,Very Low
120,CyberPower 15 ft. 6-Outlet Cord 1500J Surge Protector B615,CyberPower,Electrical Outlet,43.0,Low
121,Hampton Bay Denbeck 4.5 in. W Matte Black 1-Light Sconce Clear Glass KVB1301AX-01,Hampton Bay,Wall Sconce,46.0,Low
122,Digz Women's Medium Comfort Grip Garden Gloves 74876-014,Digz,Work Gloves,50.0,Medium
123,Hampton Bay Wesleigh 59 in. Aged Brass Standard LED Indoor Floor Lamp 3 CCT Dimmer Switch with Brass,Hampton Bay,Light Switch,46.0,Low
124,3M 3-3/4 in. x 2-5/8 in. x 1 in. 60 Grit Sanding Sponge Coarse (12-Pack) CP002-12P,3M,Unknown - Unable to Classify,28.0,Very Low
125,3M Organic Vapor Replacement Cartridges (1-Pair) 6001P1-DC,3M,Unknown - Unable to Classify,25.0,Very Low
126,3M ScotchBlue 0.94 in. x 60 yds. Sharp Lines Painter's Tape with Edge-Lock 2093-24NC,3M,Tape,40.0,Low
127,Home Decorators Collection Raleigh Jute Boucle Natural 6 ft. x 9 ft. Area Rug 8959830106x9,Home Decorators Collection,Unknown - Unable to Classify,6.0,Very Low
128,ReVent 110 CFM Ceiling/Wall Mount Easy Roomside Installation Bathroom/Bath Exhaust Fan w/ Adjustable,ReVent,Exhaust Fan,76.0,High
129,Hampton Bay Raeburn 23 in. Steel and Marble Aged Brass Indoor Table Lamp with Black Fabric Shade HD-,Hampton Bay,Unknown - Unable to Classify,16.0,Very Low
130,Airthings Wave Radon Battery Operated Smart Radon Detector 2951,Airthings,Unknown - Unable to Classify,5.0,Very Low
131,Hampton Bay 120-Volt 150-Watt Black Single Circuit Linear Track Pendant or Chandelier Adapter Track ,Hampton Bay,Chandelier,46.0,Low
132,FastenMaster Collated Cortex Hidden Fastening System for AZEK Trim - 2 inch Cortex screws and plugs ,FastenMaster,Unknown - Unable to Classify,28.0,Very Low
133,Hampton Bay Indoor/Outdoor 12-Light 24 ft. Smart Plug-in Edison Bulb RGBW Color Changing LED String ,Hampton Bay,Light Switch,31.0,Low
134,"Milwaukee AIR-TIP Claw Utility Nozzle, Rotating Corner Brush, Flexible Long Crevice Tool For Wet/Dry",Milwaukee,Paint Brush,40.0,Low
135,PUR PLUS 30 Cup Dispenser - Water Filter Pitcher DS1810ZA,PUR,Unknown - Unable to Classify,25.0,Very Low
136,PUR PLUS 11 Cup Pitcher - Water Filter Pitcher PPT110WA,PUR,Unknown - Unable to Classify,25.0,Very Low
137,HDX Natural Cream Painters Cotton Spray Sock Hood (3-Pack) 09305-12HDX,HDX,Unknown - Unable to Classify,25.0,Very Low
138,"Leviton 3.6A USB Dual Type A In-Wall Charger with 15 Amp Tamper-Resistant Outlets, White T5632-BW R0",Leviton,Unknown - Unable to Classify,25.0,Very Low
139,Empire 9 in. True Blue Professional Magnetic Torpedo Level (2-Pack) EM81.9G,Empire,Level,58.0,Medium
140,CASTICO 32 in. W x 60 in. L x 1.125 in. H Alcove Solid Composite Stone Shower Pan Base with L/R Drai,CASTICO,Shower Pan,78.0,High
141,ULTRA PROGRADE ProWire Direct Wire 24 in. LED Oil-Rubbed Bronze Under Cabinet Light 64771-T1,ULTRA PROGRADE,Under Cabinet Light,51.0,Medium
142,360 Electrical 24-Watt Revolve 4-Outlet Surge Protector 3E0775-WHT6NA,360 Electrical,Electrical Outlet,43.0,Low
143,360 Electrical 45-Watt Revolve 4-Outlet Surge Protector 3E0771-WHT6NA,360 Electrical,Electrical Outlet,43.0,Low
144,"Leviton Decora 20 Amp 125-Volt Combination Duplex Outlet and USB Outlet, White T5832-BW R02-T5832-0B",Leviton,Electrical Outlet,73.0,High
145,Defiant Smart Outdoor 4 ft. 6-Outlet Power Stake Timer with Holiday Lights Projector Powered by Hubs,Defiant,Electrical Outlet,43.0,Low
146,EcoSmart 6 in. Integrated LED White Canless New Construction or Remodel Dimmable Recessed Light Trim,EcoSmart,Recessed Light,81.0,High
147,"EcoSmart 5/6 in. Integrated LED Recessed Retrofit Light Trim 3000K, (4-Pack) NB01cA10FR1-309",EcoSmart,Recessed Light,89.0,High
148,Commercial Electric 12 in. LED Linkable White Flexible Tape Under Cabinet Light Kit (4-Strip Pack) 4,Commercial Electric,Under Cabinet Light,51.0,Medium
149,"Enbrighten 12 Bulb 24 ft. Outdoor/Indoor Black Vintage LED String Lights, Acrylic Edison Bulbs 35629",Enbrighten,Unknown - Unable to Classify,13.0,Very Low
150,Hampton Bay Richland 1-Light Dark Bronze Mini-Pendant Design Clear Seedy Glass KSF8901AX-01/DB,Hampton Bay,Pendant Light,51.0,Medium
151,GE Whole House Water Filtration System GXWH50M,GE,Unknown - Unable to Classify,28.0,Very Low
152,"VELUX 2 ft. Rigid Extension Tube for TGR 010, THR 010, TSR 010, and TMR 010 Sun Tunnel Skylight ZTR ",VELUX,Skylight,40.0,Low
153,VELUX 10 in. Acrylic Dome Sun Tunnel Skylight with Rigid Tube and Pitched High Density Flashing THR ,VELUX,Skylight,43.0,Low
154,VELUX 22.5 in. x 22.5 in. Fixed Curb-Mount Skylight with Tempered Low-E3 Glass FCM 2222 0005,VELUX,Skylight,45.0,Low
155,Glacier Bay Bratten 33 in. Drop-In 50/50 Double Bowl 18 Gauge Stainless Steel Kitchen Sink with Acce,Glacier Bay,Sink,53.0,Medium
156,BEYOND BRIGHT 25-Watt LED Lamp Light Bulbs 6500K 3700-Lumens with Built-In Bluetooth Speaker BEBRSW-,BEYOND BRIGHT,LED Light Bulb,61.0,Medium
157,EcoSmart 6 in. Integrated LED White Canless New Construction or Remodel Dimmable Recessed Light Trim,EcoSmart,Recessed Light,78.0,High
158,VELUX 22-1/2 in. x 46-1/2 in. Fixed Curb-Mount Skylight with Tempered Low-E3 Glass FCM 2246 0005,VELUX,Skylight,45.0,Low
159,Home Decorators Collection Kenton 4.75 in. 1-Light Vintage Bronze Industrial Wall Sconce with Cage F,Home Decorators Collection,LED Light Bulb,46.0,Low
160,Home Decorators Collection Harmony Denim 5 ft. x 7 ft. Indoor Machine Washable Area Rug 610273,Home Decorators Collection,Unknown - Unable to Classify,6.0,Very Low
161,Home Decorators Collection Sirrine 17.25 in. 2-Light Black Outdoor Wall Light Fixture Sconce with Cl,Home Decorators Collection,LED Light Bulb,48.0,Low
162,VELUX 21 in. x 45-3/4 in. Fixed Deck-Mount Skylight with Laminated Low-E3 Glass FS C06 2004,VELUX,Skylight,43.0,Low
163,"Ring Smart Lighting - Low Voltage Lighting Transformer (12-Volt x 15-Volt, 200-Watt), Black (Bridge ",Ring,Unknown - Unable to Classify,9.0,Very Low
164,TrimMaster Satin Nickel 5.5mm x 74 in. Aluminum Stair Nosing Floor Transition Strip HLVT7SN74,TrimMaster,Unknown - Unable to Classify,25.0,Very Low
165,RYOBI ONE+ 18V Cordless Hybrid 3000 Lumens LED Panel Light (Tool Only) PCL631B,RYOBI,Unknown - Unable to Classify,16.0,Very Low
166,Hampton Bay Ashhurst 1-Light ORB Wall Sconce with Switch JIB8401AX-02/OR,Hampton Bay,Light Switch,46.0,Low
167,Glacier Bay 33 in. Drop-In Single Bowl 18 Gauge Stainless Steel Kitchen Sink with Pull-Down Faucet V,Glacier Bay,Unknown - Unable to Classify,11.0,Very Low
168,Hampton Bay Ashhurst 1-Light Brushed Nickel Wall Sconce with Switch JIB8401AX-02/BN,Hampton Bay,Light Switch,46.0,Low
169,Commercial Electric 11 in. 100-Watt Equivalent Oil-Rubbed Bronze Integrated LED Flush Mount with Fro,Commercial Electric,Flush Mount Light,48.0,Low
170,Hampton Bay Pratford 2.6 ft. 4-Light Brushed Nickel Integrated LED Fixed Track Lighting Kit 23055-00,Hampton Bay,Track Lighting,46.0,Low
171,Hampton Bay Lamar Park 50 Lumen Low Voltage Black Integrated LED Waterproof Outdoor Path Lights with,Hampton Bay,Unknown - Unable to Classify,25.0,Very Low
172,CASTICO 36 in. W x 60 in. L x 1.125 in. H Alcove Solid Composite Stone Shower Pan Base with L/R Drai,CASTICO,Shower Pan,78.0,High
173,Milwaukee AIR-TIP 1-1/4 in. - 2-1/2 in. Pivoting Extension Wand Wet/Dry Shop Vacuum Attachment (1-Pi,Milwaukee,Shop Vacuum,65.0,Medium
174,KOHLER Capilano Single-Handle 3-Spray Tub and Shower Faucet in Vibrant Brushed Nickel (Valve Include,KOHLER,Unknown - Unable to Classify,28.0,Very Low
175,Feit Electric OneSync Landscape 40 Lumens Bronze Solar Integrated LED Outdoor Path Light with Dusk-T,Feit Electric,Unknown - Unable to Classify,21.0,Very Low
176,Home Decorators Collection Closmere 5 in. 1-Light Brushed Gold Mid-Century Modern Wall Sconce with C,Home Decorators Collection,LED Light Bulb,46.0,Low
177,Hampton Bay Darlington 4.5 in. 1-Light Brushed Nickel Transitional Wall Sconce with Frosted Opal Gla,Hampton Bay,Wall Sconce,46.0,Low
178,Hampton Bay Byrson 6 in. 1-Light Matte Black Wall Sconce Light with Plug-In/Hardwire White Fabric Sh,Hampton Bay,Wall Sconce,71.0,High
179,Home Decorators Collection Keighley Integrated LED Chrome and Crystal Indoor Wall Sconce Light Fixtu,Home Decorators Collection,LED Light Bulb,41.0,Low
180,Hampton Bay Upton Brushed Nickel LED Sconce RS513859,Hampton Bay,LED Light Bulb,32.0,Low
181,Hampton Bay Obsidian 8.5 in. 1-Light Brushed Nickel Wall Sconce with Frosted Glass Shade RS228470,Hampton Bay,Wall Sconce,46.0,Low
182,Home Decorators Collection Downing 1-Light Polished Nickel/Corona Bronze Wall Sconce 28011,Home Decorators Collection,Wall Sconce,43.0,Low
183,Glacier Bay Stancliff 25 in. Single Sink Elm Ember Bath Vanity with White Cultured Marble Top (Assem,Glacier Bay,Vanity Top,78.0,High
184,Glacier Bay 33 in. Drop-In 60/40 Double Bowl 18 Gauge Stainless Steel Kitchen Sink with Pull-Down Fa,Glacier Bay,Faucet,43.0,Low
185,Feit Electric OneSync Landscape 40 Lumens Bronze Solar Integrated LED Outdoor Path Light w/Dusk-To-D,Feit Electric,Unknown - Unable to Classify,21.0,Very Low
186,Commercial Electric 11 in. White Integrated LED Dimmable Flush Mount Puff with Adjustable CCT and RG,Commercial Electric,Flush Mount Light,51.0,Medium
187,Hampton Bay 540 Lumen Low Voltage Millennium Black Adjustable Light Color Integrated LED Outdoor Lan,Hampton Bay,Light Switch,31.0,Low
188,Hampton Bay 10-Watt Equivalent Low Voltage Black LED Outdoor Spotlight with Smart App Control (1-Pac,Hampton Bay,Unknown - Unable to Classify,19.0,Very Low
